Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Romosozumab (mg),Medication: Denosumab (mg)
9125,1.0,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,,
25915,0.8037696335078535,0.8037696335078535,0.8037696335078535,1.0,1.0,1.0,1.0,1.0,1.0,210.0,0.0
25930,,,,2.484168865,2.08707124,2.899736148,0.49189189190000004,0.3783783784,0.6905405405,,
25945,,,,1.9577836412,1.5237467018,2.39182058,0.577027027,0.46351351350000003,0.8040540541,210.0,0.0
25975,,,,,,,,,,210.0,0.0
25991,,,,1.191292876,0.8311345646,1.6715039578,0.8040540541,0.6148648648999999,1.06891891892,,
26005,,,,,,,,,,210.0,0.0
26006,,,,1.4960422164,1.135883905,2.1609498680000003,0.6148648648999999,0.47297297299999996,1.04054054054,,
26035,,,,,,,,,,210.0,0.0
26065,,,,,,,,,,210.0,0.0
26082,,,,1.06200527704,0.8034300792,1.209762533,0.6148648648999999,0.38783783780000003,0.8797297297,,
26095,,,,,,,,,,210.0,0.0
26097,0.8413137594423999,0.8332767560130094,0.8480831059133194,1.3113456464,1.05277044855,1.7453825858,0.49189189190000004,0.29324324320000006,0.7094594595,,
26125,,,,,,,,,,210.0,0.0
26155,,,,,,,,,,210.0,0.0
26185,,,,,,,,,,210.0,0.0
26188,,,,0.8957783641,0.7480211082,1.246701847,0.4824324324,0.31216216220000004,0.7,,
26215,,,,,,,,,,210.0,0.0
26245,,,,,,,,,,210.0,0.0
26280,0.8585518517391582,0.8509378868804147,0.866168004724088,0.8218997361,0.6187335091999999,1.2189973615,0.4540540541,0.3310810811,0.7189189189,0.0,60.0
26310,,,,0.49868073879999997,0.3786279683,0.8588390501000001,0.05675675680000003,0.01891891889999997,0.06621621619999996,,
26460,,,,,,,,,,0.0,60.0
26462,0.8702926307678032,0.8588705894165948,0.8817146721190117,0.3047493403999999,0.20316622690000008,0.4617414248,0.18918918919999994,0.1797297297,0.6243243243000001,,
26645,0.8739927594874012,0.8642643311642136,0.8841464145154597,0.3139841688999999,0.18469656990000005,0.5171503958000001,0.20810810810000002,0.1797297297,0.6337837838,,
