Time (days),BMD total hip,Error low: BMD total hip,Error high: BMD total hip,P1NP,Error low: P1NP,Error high: P1NP,CTX,Error low: CTX,Error high: CTX,Medication: Romosozumab (mg),Medication: Denosumab (mg),Medication: Alendronate (mg)
9125,1.0,,,,,,,,,,,
12775,0.9895287958115183,,,,,,,,,,,
16425,0.9633507853403143,,,,,,,,,,,
20075,0.9172774869109946,,,,,,,,,,,
23725,0.8471204188481676,,,,,,,,,,,
24455,0.8326701570680629,0.8326701570680629,0.8326701570680629,1.0,1.0,1.0,1.01191811679,0.8928491299,1.1820070539,0.0,0.0,0.0
24485,,,,0.93731556726,0.859135001,1.1092257986,0.99468710456,0.90963141788,1.1732569305,0.0,0.0,0.0
24515,,,,0.94490095489,0.8589080068,1.1089609721,0.97745609233,0.8328098217,1.1304710707,0.0,0.0,0.0
24545,,,,,,,,,,0.0,0.0,0.0
24546,0.829319262222643,0.8254008144271247,0.8322612079486829,0.9290491972,0.8275071503,1.1478526354,0.95169931884,0.807142793,1.07920432211,,,
24575,,,,,,,,,,0.0,0.0,0.0
24605,,,,,,,,,,0.0,0.0,0.0
24635,,,,,,,,,,0.0,0.0,0.0
24637,0.8284236170134284,0.8244989494549445,0.8323389549357907,0.8658691606,0.7800086258,1.02213571223,0.95948468504,0.8234314843,1.07850879948,,,
24665,,,,,,,,,,0.0,0.0,0.0
24695,,,,,,,,,,0.0,0.0,0.0
24725,,,,,,,,,,0.0,0.0,0.0
24728,,,,0.90430683555,0.7949145745,1.06055447103,0.97572850386,0.6781569996000001,1.3329130283,,,
24755,,,,,,,,,,0.0,0.0,0.0
24785,,,,,,,,,,0.0,0.0,0.0
24815,,,,,,,,,,0.0,0.0,0.0
24820,0.8266229969505509,0.8227045491550325,0.8315210567053571,0.91926953285,0.8021783871,1.2396528503,0.97505541745,0.8644673194,1.3747565671,,,
24845,,,,,,,,,,0.0,0.0,0.0
24850,,,,0.94246076785,0.7705694526,1.09878406804,1.03435433064,0.8643327021,1.3319707073,,,
24875,,,,,,,,,,0.0,0.0,0.0
24880,,,,0.864109956,0.7703613747,1.09068794358,1.1106374577,0.8470792537,1.3317463451,,,
24905,,,,,,,,,,0.0,0.0,0.0
24911,,,,0.871733176,0.7624165797,1.05141795675,1.06785159791,0.8468100191,1.2889380491,,,
24935,,,,,,,,,,0.0,0.0,0.0
24965,,,,,,,,,,0.0,0.0,0.0
24995,,,,,,,,,,0.0,0.0,0.0
25002,0.822869372757043,0.8189540348346808,0.8297266563971184,0.8632965603,0.7148613066,1.04294350872,0.98219013345,0.8206493938,1.2117350373,,,
25025,,,,,,,,,,0.0,0.0,0.0
25055,,,,,,,,,,0.0,0.0,0.0
25085,,,,,,,,,,0.0,0.0,0.0
25093,,,,0.8626155779,0.7063679424,1.00327628214,1.2024688810000002,0.96446552451,1.3724680733,,,
25115,,,,,,,,,,0.0,0.0,0.0
25145,,,,,,,,,,0.0,0.0,0.0
25175,,,,,,,,,,0.0,0.0,0.0
25185,0.8171627444162514,0.8122646846697719,0.824996530134132,0.8854663216,0.7057247923000001,1.1275744919,1.1337691942,0.90424672656,1.5164412575,0.0,60.0,0.0
25276,,,,0.2207518046,0.15045928480000004,0.3457499129999999,0.13562429929999997,0.1007087617000001,0.2579949456,,,
25365,,,,,,,,,,0.0,60.0,0.0
25367,0.833971641515175,0.8300594134742953,0.8418116469876944,0.2669451128,0.14974047000000001,0.4075301524,0.13410416710000006,0.08184962090000003,0.6847720751999999,,,
25550,0.8409937487572609,0.835125406704268,0.8488337542381069,0.3828256231,0.3281389507,0.6172727410000001,0.34103216979999995,0.1749102172000001,0.6469587854000001,,,
