Dataset,Observable,MAD,MAPE,R2,WMAPE
P (recknor2015),bmd,0.0036112391114312514,0.004116974905944522,0.9954748759512195,0.002686369264205499
P (recknor2015),ctx,0.06878082459778542,0.0728876679370467,-0.0792488391606756,0.07244875152716558
P (recknor2015),p1np,0.12344906060756897,0.15379855150144692,-1.9531446648312087,0.153247458312641
B180 Q4W (recknor2015),bmd,0.006086108986228805,0.0069573235076650225,0.9853896628126176,0.004271137771276748
B180 Q4W (recknor2015),ctx,0.13789254571639317,0.16479211312325914,0.2792110607405327,0.10745987904943034
B180 Q4W (recknor2015),p1np,0.19387937085833964,0.23770072717411134,0.30202990581090805,0.18768450118226185
B270 Q2W (recknor2015),bmd,0.0029512300053393973,0.0032276844807593353,0.9929072577224395,0.0016371394147188826
B270 Q2W (recknor2015),ctx,0.22145423713448484,0.2681413322680522,-1.526324860201731,0.1574375978396295
B270 Q2W (recknor2015),p1np,0.19699059591362106,0.13146852299477904,0.7875524614826925,0.04889330333693297
D14 Q6M (mcclung2006),bmd,0.0020204274445057755,0.00215695857319414,0.9972411378883633,0.00034221519407869646
D14 Q6M (mcclung2006),ctx,0.206823736826758,0.7387223006280286,0.0950906146091729,0.46315043913129783
D14 Q6M (mcclung2006),bsap,0.11108589927943986,0.17048837864074404,0.5578057959998676,0.0015030476328953119
D14 Q3M -> D60 Q6M (mcclung2017),bmd,0.002702909606690155,0.0030013384203946497,0.9933480071324432,0.0005419889770108906
A5-10 Q1D (black2006),bmd,0.0076210661964004126,0.008930352464977913,0.9771595117985026,0.006436443457558427
A5-10 Q1D (black2006),ctx,0.030277679158613024,0.07002509175248425,0.9789773096996617,0.04679231513991978
A5-10 Q1D (black2006),p1np,0.12372912770395506,0.2110731224213315,0.5398039363550824,0.13475834324466812
A70 Q1W (saag2017),bmd,0.004490728692517913,0.005309759748838124,0.9947562462893835,0.001976097461865039
A70 Q1W (saag2017),ctx,0.11807247732955908,0.3435751710108158,0.22098378603394553,0.20250929034598664
A70 Q1W (saag2017),p1np,0.05547728814403111,0.13721503008259367,0.9060971542461125,0.10229541995031018
T20 Q1D (leder2014),bmd,0.003777065506138312,0.004285331915173574,0.9950549917077751,0.001627056325471869
T20 Q1D (leder2014),ctx,0.30818974426748996,0.17072674006887512,0.14413755657560468,0.09143910003208111
T20 Q1D (leder2014),p1np,0.18178161047162758,0.0845686732778695,0.8488672124490801,0.015636331578120367
T20 Q1D -> D60 Q6M (leder2015),bmd,0.0033701367957661285,0.003824265702571209,0.9945610547887869,0.0018856138393006097
T20 Q1D -> D60 Q6M (leder2015),ctx,0.1554003088939978,0.6550168239009224,0.9071755128140253,0.08604569749353035
